what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337606670784
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1337606675616
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1337606675626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337606681089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337606691018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337606693165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337606698432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337606702911
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1337606716632
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1337606716867
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1337606716894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337606717648
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337606718819
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337606718945
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1337606719338
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1337606724279
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1337606766522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337606842319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337606952122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337606998125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607031818
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1337607032937
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1337607040889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607041020
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1337607086646
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110815-1438,"org.eclipse.equinox.frameworkadmin",1337607086656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607087022
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337607087182
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337607087278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607095623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607105127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607123045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607129310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607131405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607228423
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337607285366
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337607287653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607324630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607360465
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1337607384254
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1337607384392
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1337607384457
executed,command,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.junitShortcut.run",1337607385838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607385898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607393967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607394991
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1337607395240
opened,view,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.ResultView",1337607395720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607397975
executed,command,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.junitShortcut.run",1337607453328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607453371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607454741
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337607460835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607469134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607472051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607475324
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607477317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607479913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607704551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607706396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607707926
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337607708124
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1337607708414
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1337607708417
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1337607708417
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1337607708419
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1337607708420
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1337607708421
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1337607708421
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1337607708421
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1337607708422
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1337607708425
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1337607708431
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1337607708431
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1337607708455
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1337607708457
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1337607708458
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1337607708461
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1337607708462
stopped,bundle,org.eclipse.m2e.core.ui,1.0.200.20111228-1245,"org.eclipse.m2e.core.ui",1337607708463
stopped,bundle,org.eclipse.m2e.core,1.0.200.20111228-1245,"org.eclipse.m2e.core",1337607708465
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1337607708466
stopped,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1337607708467
stopped,bundle,org.eclipse.ant.launching,1.0.101.v20120110-1739,"org.eclipse.ant.launching",1337607708468
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1337607708469
stopped,bundle,org.eclipse.egit.mylyn.ui,1.3.0.201202151440-r,"org.eclipse.egit.mylyn.ui",1337607708470
stopped,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1337607708470
stopped,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1337607708470
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1337607708471
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1337607708471
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1337607708471
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1337607708471
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1337607708473
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1337607708473
stopped,bundle,org.eclipse.wb.swing.databinding,1.3.0.r37x201202021417,"org.eclipse.wb.swing.databinding",1337607708474
stopped,bundle,org.eclipse.wb.core.databinding,1.3.0.r37x201202052311,"org.eclipse.wb.core.databinding",1337607708475
